Response ID,Time,CONSENTIMIENTO INFORMADO ,PBAT1,PBAT2,PBAT3,PBAT4,PBAT5,PBAT6,PBAT7,PBAT8,PBAT9,PBAT10,PBAT11,PBAT12,PBAT13,PBAT14,PBAT15,PBAT16,PBAT17,PBAT18,STOP1,STOP2,STOP3,STOP4,STOP5,HEALTH,VITAL1,VITAL2,VITAL3,NEED1,NEED2,NEED3,NEED4,NEED5,NEED6,Sexo,Grupo de edad,Clase Social,Ingresos Mensuales en el Hogar,Ocupación,Tamaño del Municipio,Nivel de estudios,Provincia,CCAA,Región,Áreas Nielsen
11,12/3/24,ACEPTO,74,48,51,25,41,49,68,71,74,73,70,31,79,32,78,67,19,13,12,13,15,13,9,Muy buena,72,80,80,83,30,86,10,77,12,Hombre,De 45 a 54 años,2-Media,2-De 1.800 a 3.000 €,1-Trabaja,De 50.000 a 200.000 hab,Superiores,Baleares,Baleares,Este,Noreste
13,12/3/24,ACEPTO,97,0,100,0,0,100,0,100,76,70,75,36,100,88,100,100,100,0,0,54,54,18,44,Buena,82,93,90,87,21,90,0,100,0,Mujer,De 35 a 44 años,2-Media,3-Más de 3.000 €,1-Trabaja,De 50.000 a 200.000 hab,Medios,Barcelona,Cataluña,Noreste,Noreste
14,12/3/24,ACEPTO,68,0,80,90,75,76,67,71,0,50,63,73,78,40,92,77,17,37,65,86,92,23,57,Buena,27,41,42,57,0,33,65,87,0,Hombre,De 25 a 34 años,2-Media,1-Menos de 1.800 €,1-Trabaja,Más de 200.000 hab,Medios,Barcelona,Cataluña,Noreste,Noreste
15,12/3/24,ACEPTO,59,2,80,67,50,51,57,98,99,78,50,56,57,9,98,76,98,61,72,63,50,58,91,Regular,3,36,50,50,65,69,60,77,50,Mujer,De 45 a 54 años,3-Baja,1-Menos de 1.800 €,1-Trabaja,De 50.000 a 200.000 hab,Superiores,Lugo,Galicia,Norte,Noroeste
16,12/3/24,ACEPTO,31,100,62,78,33,31,64,80,100,53,42,92,35,76,80,64,100,100,100,100,98,99,100,Regular,0,0,0,25,93,30,100,0,100,Mujer,De 25 a 34 años,1-Alta,2-De 1.800 a 3.000 €,1-Trabaja,1-Menos de 50.000 hab,Medios,Ciudad Real,C. La Mancha,Centro,Centro
17,12/3/24,ACEPTO,56,47,61,43,60,62,63,60,60,50,51,50,49,53,50,53,54,50,51,51,87,50,50,Regular,52,52,52,52,51,50,51,51,51,Mujer,De 18 a 24 años,2-Media,1-Menos de 1.800 €,1-Trabaja,1-Menos de 50.000 hab,Básicos,Baleares,Baleares,Este,Noreste
18,12/3/24,ACEPTO,78,23,17,24,47,21,20,6,80,33,80,69,23,12,87,18,87,78,75,75,77,21,100,Mala,13,27,25,8,93,11,91,24,81,Hombre,De 35 a 44 años,1-Alta,1-Menos de 1.800 €,1-Trabaja,1-Menos de 50.000 hab,Básicos,Gerona,Cataluña,Noreste,Noreste
19,12/3/24,ACEPTO,84,85,90,21,59,83,30,88,51,71,74,21,81,22,89,84,13,50,19,22,29,19,14,Buena,65,81,84,89,13,76,14,83,20,Hombre,De 65 a 75 años,1-Alta,2-De 1.800 a 3.000 €,No trabaja,Más de 200.000 hab,Medios,Sevilla,Andalucía,Sur,Sur
20,12/3/24,ACEPTO,83,70,64,78,69,72,69,68,75,68,68,71,80,80,66,68,69,69,41,50,51,57,58,Mala,11,30,31,25,38,37,35,62,60,Hombre,De 45 a 54 años,2-Media,1-Menos de 1.800 €,1-Trabaja,Más de 200.000 hab,Básicos,Alicante,C. Valenciana,Este,Levante
21,12/3/24,ACEPTO,72,51,80,79,36,67,81,73,72,59,67,91,70,79,79,73,50,93,96,92,90,72,88,Regular,26,27,64,61,78,58,89,61,63,Mujer,De 45 a 54 años,3-Baja,1-Menos de 1.800 €,1-Trabaja,Más de 200.000 hab,Medios,Baleares,Baleares,Este,Noreste
22,12/3/24,ACEPTO,100,85,81,31,80,100,100,100,100,35,100,80,100,80,100,100,0,100,100,100,100,100,100,Buena,82,100,100,85,0,100,31,90,88,Mujer,De 25 a 34 años,3-Baja,1-Menos de 1.800 €,No trabaja,1-Menos de 50.000 hab,Superiores,Alicante,C. Valenciana,Este,Levante
23,12/3/24,ACEPTO,100,0,100,0,0,50,12,100,61,70,87,15,100,0,100,100,50,0,30,18,20,30,0,Regular,24,50,50,81,0,54,26,90,0,Hombre,De 55 a 64 años,2-Media,2-De 1.800 a 3.000 €,1-Trabaja,Más de 200.000 hab,Medios,Madrid,Madrid,Centro,Centro
24,12/3/24,ACEPTO,69,1,69,75,25,4,34,77,69,72,64,69,62,68,64,33,22,61,5,29,14,10,19,Regular,20,71,63,68,43,59,65,64,62,Hombre,De 45 a 54 años,2-Media,3-Más de 3.000 €,1-Trabaja,1-Menos de 50.000 hab,Medios,Asturias,Asturias,Norte,Noroeste
25,12/3/24,ACEPTO,24,0,32,22,79,70,34,62,0,82,42,74,60,59,68,57,33,27,63,22,23,70,27,Excelente,69,76,65,76,22,68,16,92,17,Hombre,De 35 a 44 años,2-Media,1-Menos de 1.800 €,1-Trabaja,Más de 200.000 hab,Superiores,Albacete,C. La Mancha,Centro,Levante
