"Predictor","Community","NegativeMeanRank"
"Affect-",1,-2.14285714285714
"Social-",1,-4.2
"Attention-",1,-5
"Affect+",2,-12.6666666666667
"Variation-",3,-3.57142857142857
"Cognition+",3,-7.28571428571429
"Motivation+",3,-9.71428571428571
"Attention+",3,-9.85714285714286
"Health+",3,-10.5
"Challenge+",3,-12.8333333333333
"Challenge-",4,-11.2857142857143
"Retention-",5,-5.42857142857143
"Cognition-",5,-6.71428571428571
"Health-",6,-9.42857142857143
"Motivation-",7,-9.71428571428571
"Retention+",8,-17
"Social+",9,-11.7142857142857
"Variation+",10,-15.25
