"","Female_M","Female_SD","Male_M","Male_SD","t_diff","p_value"
"Sad",43.41,30.135,45.81,31.079,-0.961,0.337
"Anxious",45.85,28.498,52.831,30.313,-2.908,0.004
"Stressed",49.202,29.253,55.268,29.159,-2.547,0.011
"Angry",44.375,27.505,48.407,29.675,-1.727,0.085
"NoSupp",42.436,30.126,46.247,30.943,-1.53,0.126
"VITAL",62.243,20.022,58.688,21.816,2.081,0.038
"HEALTH",3,0.878,2.81,0.876,2.655,0.008
"Autonomy Satisfaction",64.941,20.858,62.983,23.125,1.09,0.276
"Autonomy Frustration",42.805,27.392,45.217,28.32,-1.062,0.289
"Connection Satisfaction",69.326,21.068,67.769,23.479,0.855,0.393
"Connection Frustration",36.879,28.745,38.163,29.945,-0.536,0.592
"Competence Satisfaction",65.042,21.903,64.919,23.068,0.067,0.946
"Competence Frustration",42.71,28.443,45.827,29.605,-1.316,0.189
