"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"Chose to do personally important things","","","","","","","","","","","","","",""
"Helped My Health","0.38***","","","","","","","","","","","","",""
"Paid attention to important things in daily life","0.52***","0.47***","","","","","","","","","","","",""
"Connected with important people","0.48***","0.39***","0.55***","","","","","","","","","","",""
"Experience range emotions approp. to moment","0.4***","0.4***","0.51***","0.47***","","","","","","","","","",""
"Found ways to challenge self","0.38***","0.4***","0.38***","0.36***","0.39***","","","","","","","","",""
"Used thinking to live better","0.55***","0.53***","0.6***","0.47***","0.45***","0.52***","","","","","","","",""
"Did things only to comply to others","-0.15***","-0.11**","-0.15***","0","0.01","0.02","-0.1*","","","","","","",""
"Hurt my health","-0.16***","-0.31***","-0.32***","-0.21***","-0.17***","-0.02","-0.21***","0.36***","","","","","",""
"Struggled to connect with moments of day","-0.23***","-0.19***","-0.29***","-0.17***","-0.16***","-0.02","-0.25***","0.45***","0.43***","","","","",""
"Hurt social connections","-0.16***","-0.15***","-0.21***","-0.12**","-0.06","0.11**","-0.16***","0.41***","0.45***","0.52***","","","",""
"Found no appropriate outlet for feelings","-0.27***","-0.22***","-0.35***","-0.25***","-0.17***","-0.04","-0.3***","0.35***","0.52***","0.54***","0.5***","","",""
"Found no meaningful challenge","-0.18***","-0.08","-0.22***","-0.12**","-0.05","0.04","-0.11**","0.29***","0.26***","0.4***","0.28***","0.42***","",""
"My thinking got in the way of important things","-0.02","-0.04","-0.12**","-0.07","-0.04","0.03","-0.08","0.32***","0.28***","0.44***","0.38***","0.38***","0.27***",""
