"","Autonomy Satisfaction","Autonomy Frustration","Connection Satisfaction","Connection Frustration","Competence Satisfaction","Competence Frustration"
"Chose to do personally important things","0.54***","-0.25***","0.43***","-0.26***","0.46***","-0.26***"
"Helped My Health","0.39***","-0.24***","0.44***","-0.16***","0.39***","-0.19***"
"Paid attention to important things in daily life","0.45***","-0.32***","0.46***","-0.34***","0.4***","-0.31***"
"Connected with important people","0.4***","-0.16***","0.49***","-0.25***","0.46***","-0.18***"
"Experience range emotions approp. to moment","0.43***","-0.16***","0.37***","-0.14***","0.41***","-0.14***"
"Found ways to challenge self","0.41***","-0.07","0.28***","0.05","0.42***","-0.08"
"Used thinking to live better","0.5***","-0.25***","0.46***","-0.22***","0.5***","-0.26***"
"Did things only to comply to others","-0.22***","0.43***","-0.17***","0.39***","-0.1*","0.34***"
"Hurt my health","-0.21***","0.44***","-0.31***","0.46***","-0.19***","0.4***"
"Struggled to connect with moments of day","-0.3***","0.46***","-0.29***","0.5***","-0.16***","0.44***"
"Hurt social connections","-0.2***","0.37***","-0.27***","0.52***","-0.15***","0.38***"
"Found no appropriate outlet for feelings","-0.34***","0.49***","-0.37***","0.53***","-0.23***","0.46***"
"Found no meaningful challenge","-0.19***","0.29***","-0.15***","0.38***","-0.02","0.32***"
"My thinking got in the way of important things","-0.19***","0.31***","-0.17***","0.35***","-0.09*","0.4***"
"Stuck & unable to change ineffective behavior","-0.32***","0.47***","-0.31***","0.5***","-0.21***","0.5***"
"Able to change behavior, when changing helped","0.4***","-0.18***","0.32***","-0.08","0.38***","-0.07"
"Struggled to keep doing what was important","-0.21***","0.39***","-0.2***","0.34***","-0.15***","0.37***"
"Stuck to Strategies that worked","0.21***","0.12**","0.18***","0.03","0.2***","0.06"
